"month","day","year","13055040","Monteria"
"01","01","2012",346.692344497608,445.004784688995
"01","02","2012",246.27990430622,353.799043062201
"01","03","2012",244.755502392345,307.464114832536
"01","04","2012",124.665071770335,161.052631578947
"01","05","2012",NA,343.980861244019
"01","06","2012",269.997129186603,383.598086124402
"01","07","2012",276.694736842105,344.153110047847
"01","08","2012",247.957894736842,337.607655502392
"01","09","2012",282.344497607656,383.77033492823
"01","10","2012",265.007655502392,324.258373205742
"01","11","2012",290.529186602871,399.961722488038
"01","12","2012",225.746411483254,351.645933014354
"01","13","2012",296.496172248804,318.746411483254
"01","14","2012",261.341626794258,321.933014354067
"01","15","2012",204.159330143541,299.971291866029
"01","16","2012",285.129186602871,358.966507177034
"01","17","2012",NA,447.674641148325
"01","18","2012",NA,422.00956937799
"01","19","2012",NA,409.349282296651
"01","20","2012",NA,429.760765550239
"01","21","2012",NA,460.765550239234
"01","22","2012",NA,405.129186602871
"01","23","2012",251.76028708134,397.55023923445
"01","24","2012",291.208133971292,376.44976076555
"01","25","2012",243.429186602871,370.851674641148
"01","26","2012",269.708612440191,428.985645933014
"01","27","2012",326.018181818182,374.296650717703
"01","28","2012",264.713397129187,349.578947368421
"01","29","2012",267.097607655502,363.272727272727
"01","30","2012",312.805263157895,372.057416267943
"01","31","2012",274.057894736842,373.263157894737
"02","01","2012",343.744019138756,447.588516746412
"02","02","2012",308.626794258373,421.234449760766
"02","03","2012",NA,313.062200956938
"02","04","2012",NA,327.703349282297
"02","05","2012",NA,225.55980861244
"02","06","2012",181.408133971292,211.435406698565
"02","07","2012",260.534928229665,321.502392344498
"02","08","2012",254.401435406699,314.526315789474
"02","09","2012",200.265071770335,309.1004784689
"02","10","2012",NA,396.430622009569
"02","11","2012",318.762200956938,397.894736842105
"02","12","2012",245.188995215311,327.1004784689
"02","13","2012",361.194258373206,447.416267942584
"02","14","2012",368.277990430622,375.674641148325
"02","15","2012",315.377511961723,447.846889952153
"02","16","2012",361.774162679426,431.224880382775
"02","17","2012",366.150717703349,448.88038277512
"02","18","2012",359.95980861244,395.655502392345
"02","19","2012",356.422966507177,421.320574162679
"02","20","2012",301.764114832536,397.464114832536
"02","21","2012",397.848803827751,450.516746411483
"02","22","2012",381.55980861244,437.511961722488
"02","23","2012",322.596172248804,465.502392344498
"02","24","2012",367.944976076555,460.937799043062
"02","25","2012",326.054066985646,351.129186602871
"02","26","2012",371.199043062201,465.416267942584
"02","27","2012",363.991866028708,459.818181818182
"02","28","2012",317.820574162679,369.129186602871
"02","29","2012",374.664114832536,384.114832535885
"03","01","2012",345.951674641148,445.263157894737
"03","02","2012",337.356459330144,403.751196172249
"03","03","2012",300.132057416268,348.631578947368
"03","04","2012",281.305263157895,319.866028708134
"03","05","2012",248.677033492823,344.842105263158
"03","06","2012",163.11961722488,281.368421052632
"03","07","2012",384.078947368421,505.464114832536
"03","08","2012",364.998086124402,476.181818181818
"03","09","2012",314.763157894737,484.966507177034
"03","10","2012",322.207177033493,467.311004784689
"03","11","2012",314.570813397129,436.909090909091
"03","12","2012",334.742583732057,505.377990430622
"03","13","2012",279.788038277512,432.861244019139
"03","14","2012",274.672248803828,471.272727272727
"03","15","2012",313.171291866029,452.497607655502
"03","16","2012",279.823923444976,383.253588516746
"03","17","2012",156.813875598086,255.014354066986
"03","18","2012",189.287081339713,284.985645933014
"03","19","2012",227.224880382775,293.511961722488
"03","20","2012",290.163157894737,360.775119617225
"03","21","2012",239.184688995215,297.99043062201
"03","22","2012",317.734449760766,411.071770334928
"03","23","2012",341.998564593301,449.224880382775
"03","24","2012",258.707655502392,419.33971291866
"03","25","2012",300.516746411483,427.435406698565
"03","26","2012",191.886602870813,278.698564593301
"03","27","2012",342.364593301435,439.406698564593
"03","28","2012",318.297129186603,518.727272727273
"03","29","2012",247.950717703349,380.411483253589
"03","30","2012",222.693301435407,317.11004784689
"03","31","2012",295.182775119617,298.334928229665
"04","01","2012",168.133492822967,316.076555023923
"04","02","2012",261.891387559809,392.296650717703
"04","03","2012",107.214832535885,143.052631578947
"04","04","2012",285.318660287081,440.095693779904
"04","05","2012",189.536842105263,265.866028708134
"04","06","2012",228.641626794258,441.904306220096
"04","07","2012",199.553110047847,299.196172248804
"04","08","2012",200.481818181818,337.952153110048
"04","09","2012",179.674162679426,353.712918660287
"04","10","2012",310.930622009569,584.44019138756
"04","11","2012",345.192344497608,463.263157894737
"04","12","2012",292.301913875598,367.578947368421
"04","13","2012",194.965550239234,441.55980861244
"04","14","2012",287.395693779904,355.177033492823
"04","15","2012",319.294736842105,322.794258373206
"04","16","2012",269.778947368421,435.789473684211
"04","17","2012",372.785167464115,418.909090909091
"04","18","2012",285.345933014354,384.200956937799
"04","19","2012",299.163157894737,367.320574162679
"04","20","2012",223.673684210526,352.162679425837
"04","21","2012",217.014832535885,289.636363636364
"04","22","2012",193.194258373206,252.430622009569
